Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-14,610.0,701.0,610.0,85.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-14,550.0,550.0,550.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-13,580.0,581.0,550.0,244.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-12,580.0,580.0,580.0,200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-14,524.0,540.0,524.0,150.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-13,520.0,520.0,500.0,429.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-13,500.0,540.0,491.0,267.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-12,503.0,530.0,501.0,563.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-11,501.0,600.0,501.0,385.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-10,534.0,555.0,500.0,340.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-10,700.0,700.0,550.0,353.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-09,751.0,850.0,610.0,288.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-09,770.0,770.0,700.0,363.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-08,766.0,790.0,755.0,815.0,76.26742037324104,SELL,76.6016713091922,,HOLD,-23.398328690807798,HOLD,,HOLD,77.07331631742072,HOLD
2016-02-07,875.0,875.0,766.0,390.0,82.82942004965687,SELL,100.0,,SELL,-0.0,SELL,,HOLD,79.54187733095029,HOLD
2016-03-08,800.0,890.0,765.0,323.0,68.74465401206668,HOLD,77.44360902255639,84.68176011058286,HOLD,-22.55639097744361,HOLD,,HOLD,73.29684689152887,HOLD
2016-04-07,912.0,912.0,800.0,522.0,75.45651179407304,SELL,100.0,92.4812030075188,SELL,-0.0,SELL,,HOLD,75.64217490496401,HOLD
2016-05-07,900.0,900.0,900.0,24.0,73.63205631216529,SELL,97.14964370546318,91.5310842426732,SELL,-2.8503562945368173,SELL,,HOLD,74.9888646804142,HOLD
2016-06-06,949.0,949.0,900.0,61.0,76.1661900733746,SELL,100.0,99.04988123515439,SELL,-0.0,SELL,,HOLD,77.09836117295382,HOLD
2016-07-06,1115.0,1115.0,922.0,445.0,82.35357039450253,SELL,100.0,99.04988123515439,SELL,-0.0,SELL,164.45703837735527,SELL,84.49238387305918,SELL
2016-08-05,1964.0,1964.0,1226.0,370.0,92.73771683748392,SELL,100.0,100.0,SELL,-0.0,SELL,331.44048873927477,SELL,89.52806155109656,SELL
2016-09-04,1988.0,2299.0,1988.0,208.0,92.8655266249225,SELL,82.71261812117844,94.23753937372614,SELL,-17.287381878821567,SELL,318.16124746871213,SELL,89.87908112403557,SELL
2016-10-04,2367.0,2440.0,1625.0,1308.0,94.50897773907373,SELL,96.23711340206185,92.9832438410801,SELL,-3.7628865979381443,SELL,241.0763848547049,SELL,93.64199959464455,SELL
