Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2018-11-27,3075.0,3075.0,3075.0,"3.075,00","2,50",47.0,144.525,144.525,3075.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-11-28,3075.0,3075.0,3075.0,"3.075,00","0,00",2.0,6.15,6.15,3075.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-11-29,3075.0,3075.0,3075.0,"3.075,00","0,00",16.0,49.2,49.2,3075.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-12-10,3075.0,3075.0,3075.0,"3.075,00","0,00",5.0,15.375,15.375,3075.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-12-12,3075.0,3075.0,3075.0,"3.075,00","0,00",19.0,58.425,58.425,3075.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-03-23,1259.0,1259.0,1259.0,"1.259,00","-59,06",417.0,525.003,525.003,1259.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-05-12,1259.0,1259.0,1259.0,"1.259,00","0,00",417.0,525.003,525.003,1259.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-07-28,1259.0,1259.0,1259.0,"1.259,00","0,00",416.0,523.744,523.744,1259.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-09-29,840.0,840.0,840.0,"840,00","-33,28",1.0,840.0,840.0,840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2023-10-02,840.0,840.0,840.0,"840,00","0,00",328.0,275.52,275.52,840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
