Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-25,1350.0,1350.0,1350.0,"1.350,00","0,00",30.0,40.500,40.500,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-16,1350.0,1350.0,1350.0,"1.350,00","0,00",40.0,54.000,54.000,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-13,1350.0,1350.0,1350.0,"1.350,00","0,00",30.0,40.500,40.500,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-02,1300.0,1300.0,1300.0,"1.300,00","-3,70",41.0,53.300,53.300,1300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-10,1300.0,1300.0,1300.0,"1.300,00","0,00",10.0,13.000,13.000,1300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-02,1350.0,1350.0,1350.0,"1.350,00","3,85",70.0,94.500,94.500,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-15,1310.0,1310.0,1310.0,"1.310,00","-2,96",188.0,246.280,246.280,1310.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-01,1349.0,1349.0,1349.0,"1.349,00","2,98",200.0,269.800,269.800,1349.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-06-03,1350.0,1350.0,1350.0,"1.350,00","0,07",600.0,810.000,810.000,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-07-09,1350.0,1350.0,1350.0,"1.350,00","0,00",41.0,55.350,55.350,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-04,1360.0,1360.0,1360.0,"1.360,00","0,74",50.0,68.000,68.000,1360.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-08-25,1350.0,1350.0,1350.0,"1.350,00","-0,74",50.0,67.500,67.500,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-06,1350.0,1350.0,1350.0,"1.350,00","0,00",82.0,110.700,110.700,1350.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-10-26,1360.0,1360.0,1360.0,"1.360,00","0,74",50.0,68.000,68.000,1360.0,55.90611487479948,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,78.11587118005461,HOLD,1341.357142857143,1346.753336862657,1345.3523809523808,BUY,BUY,BUY
2015-12-25,1350.0,1350.0,1350.0,"1.350,00","-0,74",46.0,62.100,62.100,1350.0,51.55489169406391,HOLD,83.33333333333333,,SELL,-16.666666666666668,SELL,,HOLD,75.32710925104054,HOLD,1341.357142857143,1347.1862252809694,1346.5047619047618,BUY,BUY,BUY
2016-02-12,1350.0,1350.0,1350.0,"1.350,00","0,00",40.0,54.000,54.000,1350.0,51.55489169406391,HOLD,83.33333333333333,88.88888888888887,SELL,-16.666666666666668,SELL,,HOLD,75.32710925104054,HOLD,1341.357142857143,1347.561395243507,1347.6571428571428,BUY,BUY,BUY
2016-03-04,1350.0,1350.0,1350.0,"1.350,00","0,00",110.0,148.500,148.500,1350.0,51.55489169406391,HOLD,83.33333333333333,83.33333333333333,SELL,-16.666666666666668,SELL,,HOLD,75.32710925104054,HOLD,1341.357142857143,1347.8865425443728,1348.8095238095236,BUY,BUY,BUY
2016-03-29,1360.0,1360.0,1360.0,"1.360,00","0,74",110.0,149.600,149.600,1360.0,55.846960746367024,HOLD,100.0,88.8888888888889,SELL,-0.0,SELL,,HOLD,79.52477965769319,HOLD,1345.642857142857,1349.5016702051232,1351.295238095238,BUY,BUY,BUY
2016-04-13,1360.0,1360.0,1360.0,"1.360,00","0,00",142.0,193.120,193.120,1360.0,55.846960746367024,HOLD,100.0,94.44444444444444,SELL,-0.0,SELL,,HOLD,79.52477965769319,HOLD,1349.9285714285713,1350.9014475111069,1353.2095238095237,BUY,BUY,BUY
2016-04-18,1350.0,1350.0,1350.0,"1.350,00","-0,74",24.0,32.400,32.400,1350.0,50.64330914468098,HOLD,80.0,93.33333333333333,HOLD,-20.0,HOLD,26.96569216392988,HOLD,76.98119164674574,HOLD,1349.9285714285713,1350.781254509626,1353.2190476190476,BUY,SELL,SELL
2016-04-25,1360.0,1360.0,1360.0,"1.360,00","0,74",20.0,27.200,27.200,1360.0,55.144326934675924,HOLD,100.0,93.33333333333333,SELL,-0.0,SELL,76.77087455480803,HOLD,89.57931300656118,SELL,1353.5,1352.0104205750092,1354.5619047619048,BUY,BUY,BUY
2016-05-05,1350.0,1350.0,1350.0,"1.350,00","-0,74",31.0,41.850,41.850,1350.0,50.212981890659265,HOLD,0.0,60.0,BUY,-100.0,BUY,24.00738688827314,HOLD,84.63422907322956,SELL,1353.5714285714287,1351.7423644983414,1354.095238095238,SELL,SELL,SELL
2016-05-13,1351.0,1351.0,1351.0,"1.351,00","0,07",129.0,174.279,174.279,1351.0,50.68788267232101,HOLD,10.0,36.666666666666664,BUY,-90.0,BUY,28.985507246376812,HOLD,70.49624491083743,HOLD,1353.642857142857,1351.6433825652293,1353.752380952381,SELL,SELL,SELL
2016-06-10,1499.0,1499.0,1499.0,"1.499,00","10,95",3.0,4.497,4.497,1499.0,80.43413397715365,SELL,100.0,36.666666666666664,SELL,-0.0,SELL,575.4660252555615,SELL,70.68703212131844,HOLD,1364.2857142857142,1371.290931556532,1373.1333333333332,BUY,BUY,BUY
2016-06-16,1400.0,1400.0,1400.0,"1.400,00","-6,60",45.0,63.000,63.000,1400.0,56.06936129690505,HOLD,33.557046979865774,47.852348993288594,HOLD,-66.44295302013423,HOLD,148.04416994197967,SELL,61.34994916182183,HOLD,1367.142857142857,1375.1188073489946,1377.895238095238,BUY,BUY,BUY
2016-08-09,1358.0,1358.0,1358.0,"1.358,00","-3,00",40.0,54.320,54.320,1358.0,49.25298842627533,HOLD,5.369127516778524,46.30872483221477,BUY,-94.63087248322148,BUY,-10.716300056401284,HOLD,62.54389099381908,HOLD,1367.7142857142858,1372.836299702462,1376.6761904761904,SELL,SELL,SELL
2016-09-12,1350.0,1350.0,1350.0,"1.350,00","-0,59",66.0,89.100,89.100,1350.0,48.05462565469857,HOLD,0.0,12.975391498881434,BUY,-100.0,BUY,-49.432583189074684,HOLD,55.27216166065981,HOLD,1367.7142857142858,1369.7914597421336,1374.3142857142857,SELL,SELL,SELL
2016-10-28,1400.0,1400.0,1400.0,"1.400,00","3,70",50.0,70.000,70.000,1400.0,55.36436861036279,HOLD,33.557046979865774,12.975391498881434,HOLD,-66.44295302013423,HOLD,113.74095989480539,SELL,55.38858795386454,HOLD,1370.5714285714287,1373.819265109849,1378.6190476190475,BUY,BUY,BUY
