Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-14,55500.0,55500.0,55500.0,14.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-21,56000.0,56000.0,56000.0,102.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-11-28,55500.0,55500.0,55500.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-05,56000.0,56000.0,56000.0,314.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-26,57001.0,57001.0,57000.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-16,57000.0,57000.0,57000.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-23,57000.0,57000.0,57000.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-30,57900.0,58000.0,57500.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-06,57999.0,57999.0,57999.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-20,57999.0,57999.0,57900.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-27,58000.0,58000.0,58000.0,5.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-06,57001.0,58000.0,57001.0,7.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-13,57000.0,57000.0,57000.0,2.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-20,57000.0,57000.0,57000.0,3.0,59.66402209042227,HOLD,60.0,,HOLD,-40.0,HOLD,,HOLD,90.04994481735318,SELL,56921.42857142857,56947.3643981629,57239.98095238095,BUY,BUY,SELL
2015-03-27,57000.0,57000.0,56999.0,22.0,59.66402209042227,HOLD,60.0,,HOLD,-40.0,HOLD,,HOLD,86.16200014713243,SELL,57028.57142857143,56954.382478407846,57250.45714285715,SELL,BUY,SELL
2015-04-03,57000.0,57000.0,56990.0,10.0,59.66402209042228,HOLD,60.0,60.0,HOLD,-40.0,HOLD,,HOLD,80.8004569752528,SELL,57100.0,56960.464814620136,57246.647619047624,SELL,BUY,SELL
