Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-11,54.0,54.0,42.0,1770.288,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-10,42.0,49.0,40.0,2474.99,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-10,25.0,25.0,25.0,401.3,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-10,25.0,29.0,25.0,1178.31,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-09,25.0,27.0,25.0,1541.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-09,25.0,26.0,25.0,1637.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-08,21.0,30.0,20.0,1939.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-07,21.0,21.0,21.0,601.6,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-07,21.0,21.0,21.0,684.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-06,21.0,22.0,21.0,872.705,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-06,20.0,21.0,20.0,2657.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-05,20.0,20.0,20.0,664.5,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-04,20.0,20.0,20.0,1255.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-05,15.0,20.0,15.0,1815.601,0.0,BUY,0.0,,BUY,-100.0,BUY,,HOLD,12.26217208390743,BUY
2016-04-04,16.0,16.0,15.0,1086.914,4.9597120580177005,BUY,2.9411764705882355,,BUY,-97.05882352941177,BUY,,HOLD,11.767262704917854,BUY
2016-05-04,16.0,16.0,15.0,1079.23,4.9597120580177005,BUY,6.666666666666667,3.202614379084968,BUY,-93.33333333333333,BUY,,HOLD,15.819598653628177,BUY
2016-06-03,16.0,16.0,16.0,2.0,4.9597120580177005,BUY,6.666666666666667,5.424836601307189,BUY,-93.33333333333333,BUY,,HOLD,16.35083168074152,BUY
2016-07-03,16.0,16.0,16.0,600.0,4.9597120580177005,BUY,6.666666666666667,6.666666666666667,BUY,-93.33333333333333,BUY,,HOLD,6.83640333849101,BUY
2016-08-02,16.0,16.0,16.0,902.457,4.9597120580177005,BUY,6.666666666666667,6.666666666666667,BUY,-93.33333333333333,BUY,,HOLD,7.995667803305054,BUY
2016-09-01,16.0,16.0,16.0,3.0,4.9597120580177005,BUY,6.666666666666667,6.666666666666667,BUY,-93.33333333333333,BUY,-74.81112953749769,HOLD,9.724684920814823,BUY
2016-10-01,16.0,16.0,13.0,80.508,4.9597120580177005,BUY,33.333333333333336,15.555555555555557,HOLD,-66.66666666666667,HOLD,-91.4039751867325,HOLD,12.678687668698885,BUY
2016-10-31,22.0,22.0,19.0,745.0,36.63642797050013,HOLD,100.0,46.666666666666664,SELL,-0.0,SELL,23.21552321552323,HOLD,22.846942443386382,HOLD
2016-11-30,23.0,26.0,23.0,1742.0,40.21304371199487,HOLD,76.92307692307692,70.08547008547009,HOLD,-23.076923076923077,HOLD,87.71929824561406,HOLD,39.65452029091842,HOLD
