Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-20,70.0,70.0,70.0,"70,00","0,00",420.0,29.4,29.4,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-26,70.0,70.0,70.0,"70,00","0,00",263.0,18.41,18.41,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,70.0,70.0,70.0,"70,00","0,00",304.0,21.28,21.28,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-09,70.0,70.0,70.0,"70,00","0,00",350.0,24.5,24.5,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-18,70.0,70.0,70.0,"70,00","0,00",620.0,43.4,43.4,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-09,70.0,70.0,70.0,"70,00","0,00",250.0,17.5,17.5,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-13,70.0,70.0,70.0,"70,00","0,00",670.0,46.9,46.9,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-10,70.0,70.0,70.0,"70,00","0,00",270.0,18.9,18.9,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-04-11,70.0,70.0,70.0,"70,00","0,00",182.0,12.74,12.74,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-10-15,70.0,70.0,70.0,"70,00","0,00",300.0,21.0,21.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2018-11-05,70.0,70.0,70.0,"70,00","0,00",250.0,17.5,17.5,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-01-21,70.0,70.0,70.0,"70,00","0,00",300.0,21.0,21.0,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-01-22,70.0,70.0,70.0,"70,00","0,00",450.0,31.5,31.5,70.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2019-03-13,70.0,70.0,70.0,"70,00","0,00",313.0,21.91,21.91,70.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2020-09-29,70.0,70.0,70.0,"70,00","0,00",234.0,16.38,16.38,70.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2020-11-06,70.0,70.0,70.0,"70,00","0,00",320.0,22.4,22.4,70.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2021-02-09,70.0,70.0,70.0,"70,00","0,00",4.082,285.74,285.74,70.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
2023-06-15,70.0,70.0,70.0,"70,00","0,00",234.0,16.38,16.38,70.0,100.0,SELL,,,HOLD,,HOLD,,HOLD,,HOLD
