Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-02-11,2001.0,2001.0,2001.0,"2.001,00","29,10",20.0,40.020,40.020,2001.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-29,2000.0,2000.0,2000.0,"2.000,00","-0,05",136.0,272.000,272.000,2000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-07,2001.0,2001.0,2001.0,"2.001,00","0,05",9.0,18.009,18.009,2001.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-20,2001.0,2001.0,2001.0,"2.001,00","0,00",10.0,20.010,20.010,2001.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-11,2071.0,2071.0,2071.0,"2.071,00","3,50",170.0,352.070,352.070,2071.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-18,2071.0,2071.0,2071.0,"2.071,00","0,00",100.0,207.100,207.100,2071.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-21,2071.0,2071.0,2071.0,"2.071,00","0,00",172.0,356.212,356.212,2071.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-18,2485.0,2485.0,2485.0,"2.485,00","19,99",205.0,509.425,509.425,2485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-16,2485.0,2485.0,2485.0,"2.485,00","0,00",34.0,84.490,84.490,2485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-03,2485.0,2485.0,2485.0,"2.485,00","0,00",177.0,439.845,439.845,2485.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-04,2982.0,2982.0,2982.0,"2.982,00","20,00",2.447,7.296.954,7.296.954,2982.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-28,2982.0,2982.0,2982.0,"2.982,00","0,00",14.0,41.748,41.748,2982.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-18,3578.0,3578.0,3578.0,"3.578,00","19,99",10.0,35.780,35.780,3578.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-01,3500.0,3500.0,3500.0,"3.500,00","-2,18",42.0,147.000,147.000,3500.0,94.11121907257238,SELL,95.05703422053232,,SELL,-4.942965779467681,SELL,,HOLD,68.76819108450164,HOLD
2016-12-09,3500.0,3500.0,3500.0,"3.500,00","0,00",26.0,91.000,91.000,3500.0,94.11121907257238,SELL,95.05703422053232,,SELL,-4.942965779467681,SELL,,HOLD,68.76819108450164,HOLD
2016-12-13,3500.0,3500.0,3500.0,"3.500,00","0,00",94.0,329.000,329.000,3500.0,94.11121907257238,SELL,95.05389980976538,95.05598941694335,SELL,-4.946100190234623,SELL,,HOLD,86.25629977326616,SELL
2017-01-10,3500.0,3500.0,3500.0,"3.500,00","0,00",6.0,21.000,21.000,3500.0,94.11121907257238,SELL,95.05389980976538,95.05494461335435,SELL,-4.946100190234623,SELL,,HOLD,86.02092805529502,SELL
2017-02-03,3500.0,3500.0,3500.0,"3.500,00","0,00",9.0,31.500,31.500,3500.0,94.11121907257238,SELL,94.82415394824154,94.97731785592411,SELL,-5.175846051758461,SELL,,HOLD,86.02092805529502,SELL
2017-04-21,3500.0,3500.0,3500.0,"3.500,00","0,00",30.0,105.000,105.000,3500.0,94.11121907257238,SELL,94.82415394824154,94.90073590208283,SELL,-5.175846051758461,SELL,,HOLD,78.98504798172443,HOLD
2017-04-26,3500.0,3500.0,3500.0,"3.500,00","0,00",96.0,336.000,336.000,3500.0,94.11121907257238,SELL,94.82415394824154,94.82415394824154,SELL,-5.175846051758461,SELL,76.99188963435992,HOLD,78.98504798172443,HOLD
2017-05-04,3500.0,3500.0,3500.0,"3.500,00","0,00",15.0,52.500,52.500,3500.0,94.11121907257238,SELL,92.86367795059469,94.17066194902593,SELL,-7.136322049405306,SELL,70.16273276931013,HOLD,78.98504798172443,HOLD
2017-05-08,3400.0,3400.0,3400.0,"3.400,00","-2,86",5.0,17.000,17.000,3400.0,82.85380514138969,SELL,83.71454711802379,90.46745967228668,SELL,-16.285452881976212,SELL,54.18946687908385,HOLD,20.80238924124798,HOLD
2017-05-11,3300.0,3300.0,3300.0,"3.300,00","-2,94",9.0,29.700,29.700,3300.0,73.39862430131065,SELL,74.56541628545288,83.71454711802379,HOLD,-25.434583714547117,HOLD,38.10185315549546,HOLD,18.193051845746766,BUY
2017-05-12,3399.0,3399.0,3399.0,"3.399,00","3,00",100.0,339.900,339.900,3399.0,76.2840967322726,SELL,69.96644295302013,76.0821354521656,HOLD,-30.033557046979865,HOLD,45.458881892768595,HOLD,66.41100382867043,HOLD
2017-05-17,3298.0,3298.0,3298.0,"3.298,00","-2,97",10.0,32.980,32.980,3298.0,68.16103303496769,HOLD,53.02013422818792,65.85066448888698,HOLD,-46.97986577181208,HOLD,26.379451147167106,HOLD,62.368019124775884,HOLD
2019-08-05,3298.0,3298.0,3298.0,"3.298,00","0,00",10.0,32.980,32.980,3298.0,68.16103303496769,HOLD,0.0,40.99552572706935,BUY,-100.0,BUY,20.12512938891788,HOLD,62.368019124775884,HOLD
2019-09-06,3298.0,3298.0,3298.0,"3.298,00","0,00",530.0,1.747.940,1.747.940,3298.0,68.16103303496769,HOLD,0.0,17.67337807606264,BUY,-100.0,BUY,11.43126509928702,HOLD,59.99152811606481,HOLD
