Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2015-02-11,2001.0,2001.0,2001.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-09,2001.0,2001.0,2000.0,145.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-09,2001.0,2001.0,2001.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-08,2071.0,2071.0,2071.0,270.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-08,2071.0,2071.0,2071.0,172.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-07,2485.0,2485.0,2485.0,205.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-08-04,2485.0,2485.0,2485.0,34.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-10-03,2982.0,2982.0,2485.0,193.447,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-11-02,3500.0,3578.0,3500.0,52.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-12-02,3500.0,3500.0,3500.0,120.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-01,3500.0,3500.0,3500.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-01-31,3500.0,3500.0,3500.0,9.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-04-01,3500.0,3500.0,3500.0,126.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2017-05-01,3298.0,3500.0,3298.0,139.0,82.28701435293607,SELL,82.25602027883397,,SELL,-17.74397972116603,SELL,,HOLD,60.66720714801832,HOLD
2019-07-20,3298.0,3298.0,3298.0,10.0,82.28701435293607,SELL,82.25602027883397,,SELL,-17.74397972116603,SELL,,HOLD,60.00635790941267,HOLD
2019-08-19,3298.0,3298.0,3298.0,530.0,82.28701435293607,SELL,82.24476854787571,82.25226970184788,SELL,-17.755231452124285,SELL,,HOLD,66.36524608871552,HOLD
2019-09-18,4159.0,4159.0,3515.0,90.0,90.88354886744047,SELL,100.0,88.16692960890323,SELL,-0.0,SELL,,HOLD,70.03227124097842,HOLD
2019-10-18,7000.0,7000.0,4900.0,116.0,96.65400280507845,SELL,100.0,94.08158951595857,SELL,-0.0,SELL,,HOLD,71.6177028106227,HOLD
2019-11-17,8600.0,8600.0,7210.0,700.0,97.58219648538864,SELL,100.0,100.0,SELL,-0.0,SELL,,HOLD,89.70043299375831,SELL
2019-12-17,9476.0,9476.0,8800.0,169.0,97.92206692779376,SELL,100.0,100.0,SELL,-0.0,SELL,286.6077904347455,SELL,90.78662268660698,SELL
2021-06-09,2500.0,2500.0,2500.0,11.0,44.39834962398133,HOLD,0.21456157917322272,66.73818719305774,BUY,-99.78543842082678,BUY,-60.747157273458946,HOLD,90.5374887319257,SELL
2021-07-09,5500.0,5500.0,5500.0,2.0,55.63022732770092,HOLD,43.0045871559633,47.73971624504551,HOLD,-56.9954128440367,HOLD,79.19407977088153,HOLD,90.00507970227844,SELL
2021-08-08,5665.0,5665.0,5665.0,1.0,56.15483395835974,HOLD,45.36983944954128,29.529662728225933,HOLD,-54.63016055045872,HOLD,74.02460470249285,HOLD,89.81431537137946,SELL
2024-05-24,4000.0,4000.0,4000.0,10.0,49.76113966518406,HOLD,21.50229357798165,36.62557339449541,HOLD,-78.49770642201835,HOLD,-6.203808092195913,HOLD,93.63630998523773,SELL
