Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-13,9100.0,9100.0,9000.0,"9.045,95","-2,23",37.0,334.700,334.700,9100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-13,9100.0,9100.0,9000.0,"9.045,95","-2,23",37.0,334.700,334.700,9100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-18,9000.0,9000.0,9000.0,"9.000,00","-0,51",15.0,135.000,135.000,9000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-19,8730.0,8730.0,8730.0,"8.730,00","-3,00",10.0,87.300,87.300,8730.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-20,8470.0,8470.0,8469.0,"8.469,86","-2,98",74.0,626.770,626.770,8470.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,8400.0,8400.0,8300.0,"8.328,57","-1,67",70.0,583.000,583.000,8400.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-25,8370.0,8370.0,8370.0,"8.370,00","0,50",27.0,225.990,225.990,8370.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-26,8330.0,8330.0,8310.0,"8.320,00","-0,60",40.0,332.800,332.800,8330.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,8199.0,8250.0,8199.0,"8.209,73","-1,33",75.0,615.730,615.730,8199.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-04,8199.0,8199.0,8199.0,"8.199,00","-0,13",40.0,327.960,327.960,8199.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-05,8000.0,8120.0,8000.0,"8.014,56","-2,25",125.0,1.001.820,1.001.820,8000.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-12,8200.0,8200.0,8200.0,"8.200,00","2,31",38.0,311.600,311.600,8200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-18,8278.0,8278.0,8200.0,"8.239,00","0,48",30.0,247.170,247.170,8278.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-19,8100.0,8100.0,8100.0,"8.100,00","-1,69",10.0,81.000,81.000,8100.0,23.075047240715733,BUY,9.090909090909092,,BUY,-90.9090909090909,BUY,,HOLD,17.13192099205638,BUY
2014-12-22,8100.0,8100.0,8100.0,"8.100,00","0,00",5.0,40.500,40.500,8100.0,23.075047240715733,BUY,9.090909090909092,,BUY,-90.9090909090909,BUY,,HOLD,17.13192099205638,BUY
2014-12-23,8250.0,8250.0,8100.0,"8.200,00","1,23",30.0,246.000,246.000,8250.0,33.909206545630525,HOLD,25.0,14.393939393939396,HOLD,-75.0,HOLD,,HOLD,21.3534355461653,HOLD
2014-12-24,8050.0,8050.0,8050.0,"8.050,00","-1,83",3.0,24.150,24.150,8050.0,28.2051938024821,BUY,6.8493150684931505,13.646741386467413,BUY,-93.15068493150685,BUY,,HOLD,21.85512492064275,HOLD
2014-12-25,8250.0,8250.0,8250.0,"8.250,00","2,48",2.0,16.500,16.500,8250.0,39.21637994367567,HOLD,53.191489361702125,28.346934810065093,HOLD,-46.808510638297875,HOLD,,HOLD,22.543122746279465,HOLD
2014-12-29,8150.0,8249.0,8149.0,"8.187,20","-0,76",61.0,499.419,499.419,8150.0,36.22479269559946,HOLD,37.5,32.51360147673176,HOLD,-62.5,HOLD,,HOLD,23.179622140335482,HOLD
2014-12-30,8370.0,8370.0,8370.0,"8.370,00","2,23",3.0,25.110,25.110,8370.0,45.98684407929768,HOLD,100.0,63.563829787234035,SELL,-0.0,SELL,-2.0814870361533075,HOLD,27.095742364641268,HOLD
2015-01-05,8300.0,8300.0,8300.0,"8.300,00","-0,84",7.0,58.100,58.100,8300.0,43.695020414858476,HOLD,81.08108108108108,72.86036036036036,SELL,-18.91891891891892,SELL,-13.113769457930609,HOLD,22.334814636627016,HOLD
2015-01-08,8299.0,8299.0,8299.0,"8.299,00","-0,01",11.0,91.289,91.289,8299.0,43.66154443250551,HOLD,80.8108108108108,87.29729729729729,SELL,-19.18918918918919,SELL,-0.8388496817839296,HOLD,23.85528557818766,HOLD
2015-01-12,8250.0,8250.0,8249.0,"8.249,80","-0,59",25.0,206.245,206.245,8250.0,41.96498446996411,HOLD,67.56756756756756,76.4864864864865,HOLD,-32.432432432432435,HOLD,-8.16391233701916,HOLD,26.97017505117337,HOLD
2015-01-14,8093.0,8093.0,8090.0,"8.091,71","-1,92",21.0,169.926,169.926,8093.0,37.00360533424466,HOLD,25.135135135135137,57.83783783783784,HOLD,-74.86486486486487,HOLD,-99.42979330007135,HOLD,28.399611129321414,HOLD
2015-01-15,8240.0,8240.0,8240.0,"8.240,00","1,83",30.0,247.200,247.200,8240.0,43.71358637068867,HOLD,59.375,50.69256756756757,HOLD,-40.625,HOLD,16.236712031959037,HOLD,49.19316205289504,HOLD
