Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,390.0,450.0,379.0,1794.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-10,380.0,380.0,379.0,804.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-09,381.0,390.0,380.0,520.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-08,390.0,390.0,380.0,1308.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-10,380.0,380.0,380.0,670.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-09,350.0,369.0,350.0,617.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-09,330.0,350.0,330.0,191.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-08,330.0,331.0,330.0,851.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-08,330.0,330.0,300.0,1232.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-07,335.0,335.0,330.0,677.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-06,350.0,350.0,330.0,820.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-06,350.0,350.0,332.0,1165.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-05,331.0,340.0,331.0,538.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-05,350.0,360.0,331.0,1650.0,41.60971309790052,HOLD,33.333333333333336,,HOLD,-66.66666666666667,HOLD,,HOLD,56.264332439315744,HOLD
2016-01-04,371.0,373.0,360.0,723.0,52.8532527183435,HOLD,78.88888888888889,,HOLD,-21.11111111111111,HOLD,,HOLD,59.067697618620485,HOLD
2016-02-03,370.0,375.0,370.0,284.0,52.33644139130023,HOLD,77.77777777777777,63.333333333333336,HOLD,-22.22222222222222,HOLD,,HOLD,64.72447784226264,HOLD
2016-03-04,370.0,370.0,369.0,759.0,52.33644139130023,HOLD,77.77777777777777,78.14814814814814,HOLD,-22.22222222222222,HOLD,,HOLD,58.47541827752484,HOLD
2016-04-03,367.0,367.0,367.0,124.0,50.614471201038285,HOLD,83.75,79.76851851851852,SELL,-16.25,SELL,,HOLD,51.8509933271165,HOLD
2016-05-03,378.0,378.0,367.0,811.0,56.29291574093933,HOLD,100.0,87.17592592592592,SELL,-0.0,SELL,,HOLD,59.53354549061448,HOLD
2016-06-02,351.0,378.0,351.0,644.0,43.171456321525284,HOLD,65.38461538461539,83.0448717948718,HOLD,-34.61538461538461,HOLD,1.3932427725530379,HOLD,59.33719162301494,HOLD
2016-07-02,361.0,361.0,361.0,300.0,48.00546082194949,HOLD,78.2051282051282,81.19658119658119,HOLD,-21.794871794871796,HOLD,14.294996751136955,HOLD,61.57254676321081,HOLD
2016-08-01,484.0,484.0,397.0,133.0,75.55219718448089,SELL,100.0,81.19658119658119,SELL,-0.0,SELL,303.7360504609411,SELL,67.25314348301032,HOLD
2016-08-31,500.0,530.0,500.0,280.78,77.24131208914295,SELL,85.0,87.73504273504273,SELL,-15.0,SELL,344.4041867954911,SELL,76.98788077118441,HOLD
2016-09-30,655.0,655.0,500.0,1236.0,86.77436867833308,SELL,100.0,95.0,SELL,-0.0,SELL,344.6911689637574,SELL,80.20029984473055,SELL
2016-10-30,730.0,866.0,650.0,2602.0,89.14394738581001,SELL,74.57943925233644,86.52647975077882,HOLD,-25.42056074766355,HOLD,321.32858620899515,SELL,86.31988582560912,SELL
2016-11-29,650.0,700.0,650.0,418.0,73.9286365154851,SELL,59.626168224299064,78.06853582554517,HOLD,-40.373831775700936,HOLD,183.86319845857417,SELL,80.71494367741958,SELL
2016-12-29,699.0,699.0,631.0,371.0,76.56685263176169,SELL,68.78504672897196,67.66355140186916,HOLD,-31.214953271028037,HOLD,151.87267643715236,SELL,84.33650026099228,SELL
2017-01-28,723.0,725.0,631.0,3148.0,77.75424335480217,SELL,72.23300970873787,66.88140822066963,HOLD,-27.766990291262136,HOLD,134.0572296415531,SELL,87.96277991935337,SELL
2017-02-27,723.0,740.0,700.0,2128.0,77.75424335480217,SELL,72.23300970873787,71.08368871548258,HOLD,-27.766990291262136,HOLD,125.48961399863123,SELL,89.82033651922632,SELL
2017-03-29,722.0,722.0,690.0,963.0,77.56431791946315,SELL,72.03883495145631,72.16828478964402,HOLD,-27.961165048543688,HOLD,104.18306099461498,SELL,82.7045555117252,SELL
2017-04-28,710.0,720.0,700.0,537.0,75.1908150931073,SELL,69.70873786407768,71.32686084142395,HOLD,-30.29126213592233,HOLD,91.3538516278242,HOLD,81.768684699255,SELL
2017-05-28,750.0,750.0,685.0,3467.119,77.64631708263485,SELL,77.47572815533981,73.07443365695794,HOLD,-22.524271844660195,HOLD,88.28787993251238,HOLD,86.1419154249038,SELL
2017-06-27,799.0,800.0,740.0,2459.0,80.22798037262669,SELL,86.99029126213593,78.05825242718447,SELL,-13.009708737864077,SELL,98.71794871794869,HOLD,87.86313362223645,SELL
