Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,86.0,86.0,82.0,1197.6,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-17,83.0,84.0,81.0,822.55,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-24,78.0,81.0,78.0,1103.533,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-01,78.0,80.0,78.0,703.752,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-08,80.0,80.0,74.0,1057.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-15,78.0,80.0,78.0,1524.317,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-22,80.0,80.0,78.0,1952.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-29,82.0,82.0,82.0,100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-05,82.0,82.0,80.0,1340.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-12,83.0,85.0,82.0,1724.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-19,81.0,81.0,81.0,430.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,82.0,83.0,81.0,609.096,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-02,81.0,84.0,81.0,4.211,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-09,79.0,80.0,79.0,464.995,35.985563156156175,HOLD,41.666666666666664,,HOLD,-58.333333333333336,HOLD,,HOLD,50.15224411762451,HOLD
2015-02-16,76.0,77.0,75.0,1102.585,29.31026464668342,BUY,18.181818181818183,,BUY,-81.81818181818181,BUY,,HOLD,46.08813302714034,HOLD
2015-02-23,78.0,78.0,76.0,604.465,37.618210225340825,HOLD,36.36363636363637,32.07070707070707,HOLD,-63.63636363636363,HOLD,,HOLD,51.67057350617866,HOLD
2015-03-02,76.0,76.0,76.0,250.0,33.39188506294933,HOLD,18.181818181818183,24.242424242424246,BUY,-81.81818181818181,BUY,,HOLD,55.39988159933818,HOLD
2015-03-09,74.0,74.0,74.0,558.0,29.787852868830882,BUY,0.0,18.181818181818183,BUY,-100.0,BUY,,HOLD,56.23750417977616,HOLD
2015-03-23,74.0,74.0,71.0,1056.5,29.787852868830882,BUY,21.428571428571427,13.203463203463206,HOLD,-78.57142857142857,HOLD,,HOLD,56.56095007004311,HOLD
2015-03-30,76.0,76.0,72.0,103.398,37.59890125992053,HOLD,35.714285714285715,19.04761904761905,HOLD,-64.28571428571429,HOLD,-114.22505307855633,BUY,50.566852184189024,HOLD
2015-04-06,80.0,80.0,74.0,1238.069,49.660853420430314,HOLD,64.28571428571429,40.476190476190474,HOLD,-35.714285714285715,HOLD,-22.843822843822753,HOLD,46.74921908465219,HOLD
2015-04-13,80.0,80.0,80.0,1576.0,49.660853420430314,HOLD,64.28571428571429,54.76190476190476,HOLD,-35.714285714285715,HOLD,39.012345679012256,HOLD,53.94250948907363,HOLD
2015-04-20,80.0,80.0,75.0,431.0,49.66085342043031,HOLD,64.28571428571429,64.28571428571429,HOLD,-35.714285714285715,HOLD,-9.375771033802433,HOLD,59.03119045294054,HOLD
2015-04-27,80.0,80.0,80.0,1435.0,49.66085342043031,HOLD,69.23076923076923,65.93406593406594,HOLD,-30.76923076923077,HOLD,36.93045563549157,HOLD,57.49241610280357,HOLD
