Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-10,1390.0,1390.0,1390.0,"1.390,00","0,00",27.0,37.530,37.530,1390.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-11-11,1500.0,1500.0,1500.0,"1.500,00","7,91",25.0,37.500,37.500,1500.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-30,1055.0,1055.0,1055.0,"1.055,00","-29,67",10.0,10.550,10.550,1055.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,1051.0,1051.0,1051.0,"1.051,00","-0,38",11.0,11.561,11.561,1051.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-04,1085.0,1085.0,1085.0,"1.085,00","3,24",25.0,27.125,27.125,1085.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-16,1085.0,1085.0,1085.0,"1.085,00","0,00",10.0,10.850,10.850,1085.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-07,1117.0,1117.0,1117.0,"1.117,00","2,95",2.0,2.234,2.234,1117.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-21,1150.0,1150.0,1150.0,"1.150,00","2,95",5.0,5.750,5.750,1150.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-23,1200.0,1200.0,1200.0,"1.200,00","4,35",10.0,12.000,12.000,1200.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-13,1101.0,1101.0,1101.0,"1.101,00","-8,25",3.0,3.303,3.303,1101.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-26,1100.0,1100.0,1100.0,"1.100,00","-0,09",5.0,5.500,5.500,1100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-27,1100.0,1100.0,1100.0,"1.100,00","0,00",5.0,5.500,5.500,1100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-04,1100.0,1100.0,1100.0,"1.100,00","0,00",15.0,16.500,16.500,1100.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-06-10,1201.0,1201.0,1201.0,"1.201,00","9,18",61.0,73.261,73.261,1201.0,46.59203984633779,HOLD,33.4075723830735,,HOLD,-66.5924276169265,HOLD,,HOLD,83.62467158233748,SELL
2015-07-23,1237.0,1237.0,1237.0,"1.237,00","3,00",100.0,123.700,123.700,1237.0,50.35405362198357,HOLD,41.42538975501114,,HOLD,-58.57461024498886,HOLD,,HOLD,90.10701347909013,SELL
