Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-19,700.0,700.0,700.0,80.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-18,631.0,650.0,631.0,1104.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-17,565.0,600.0,565.0,429.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-19,471.0,565.0,471.0,701.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-18,490.0,490.0,490.0,36.118,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-18,490.0,490.0,490.0,44.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-07-17,504.0,504.0,504.0,13.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-08-16,503.0,518.0,503.0,155.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-10-15,543.0,543.0,453.0,748.6990000000001,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-11-14,525.0,599.0,519.0,2195.636,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-12-14,613.0,613.0,550.0,1445.75,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-01-13,640.0,700.0,601.0,1949.625,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-02-12,630.0,640.0,600.0,1055.545,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2016-03-13,582.0,600.0,582.0,1664.0,44.533103923182864,HOLD,52.22672064777328,,HOLD,-47.77327935222672,HOLD,,HOLD,56.16564672541461,HOLD
2016-04-12,600.0,600.0,582.0,1326.0,47.76683646425799,HOLD,59.51417004048583,,HOLD,-40.48582995951417,HOLD,,HOLD,60.74831184188746,HOLD
2016-05-12,600.0,600.0,599.0,1.103,47.76683646425799,HOLD,59.51417004048583,57.08502024291497,HOLD,-40.48582995951417,HOLD,,HOLD,67.00933825084337,HOLD
2016-07-11,600.0,600.0,600.0,1100.0,47.76683646425799,HOLD,59.51417004048583,59.51417004048583,HOLD,-40.48582995951417,HOLD,,HOLD,72.3037922225742,HOLD
2016-08-10,605.0,618.0,600.0,299.39,48.80238746365621,HOLD,61.53846153846154,60.1889338731444,HOLD,-38.46153846153846,HOLD,,HOLD,76.61561147680604,HOLD
2016-09-09,600.0,611.0,600.0,324.5,47.78220918873577,HOLD,59.51417004048583,60.1889338731444,HOLD,-40.48582995951417,HOLD,,HOLD,74.73296689939859,HOLD
2016-10-09,651.0,651.0,601.0,682.2,57.53357701442237,HOLD,80.16194331983806,67.0715249662618,SELL,-19.838056680161944,SELL,76.45384302562029,HOLD,76.15586454203076,HOLD
2016-11-08,656.0,738.0,655.0,2498.0,58.35468023789829,HOLD,71.2280701754386,70.30139451192083,HOLD,-28.771929824561404,HOLD,145.589919816724,SELL,80.47440149161608,SELL
2016-12-08,719.0,719.0,698.0,256.526,67.01010266405206,HOLD,93.33333333333333,81.57444894286999,SELL,-6.666666666666667,SELL,169.86058958090564,SELL,80.6882359298139,SELL
2017-01-07,698.0,721.0,698.0,653.031,62.35771706101313,HOLD,81.7351598173516,82.09885444204117,SELL,-18.264840182648403,SELL,142.00047973135042,SELL,76.02519486484968,HOLD
2017-02-06,827.0,852.0,700.0,1075.145,74.20513628605171,SELL,91.72185430463576,88.93011581844023,SELL,-8.278145695364238,SELL,214.78319478768822,SELL,75.11486366977599,HOLD
2017-03-08,803.0,815.0,758.0,1452.0,69.80333732739078,HOLD,81.85185185185185,85.10295532461306,SELL,-18.14814814814815,SELL,178.1825582578611,SELL,63.790696909092354,HOLD
2017-04-07,803.0,803.0,803.0,2.339,69.80333732739078,HOLD,81.85185185185185,85.1418526694465,SELL,-18.14814814814815,SELL,160.13716647876745,SELL,58.26215300580793,HOLD
2017-05-07,709.0,810.0,700.0,1146.0,54.98696281344235,HOLD,47.03703703703704,70.2469135802469,HOLD,-52.96296296296296,HOLD,88.18994757940185,HOLD,56.95247066469135,HOLD
2017-06-06,722.0,736.0,714.0,260.0,56.36635399811929,HOLD,51.851851851851855,60.24691358024691,HOLD,-48.148148148148145,HOLD,64.54838004186585,HOLD,62.83617408482417,HOLD
2017-07-06,820.0,849.0,750.0,2953.043,65.05899794876457,HOLD,87.35177865612648,62.08022251500512,SELL,-12.648221343873518,SELL,124.60831736180837,SELL,69.24369333554665,HOLD
2017-08-05,839.0,845.0,821.0,2439.867,66.4543346152036,HOLD,94.84126984126983,78.01496678308273,SELL,-5.158730158730159,SELL,133.51036364977492,SELL,74.79733038491929,HOLD
2017-09-04,720.0,830.0,720.0,3121.8160000000003,52.352921986157114,HOLD,47.61904761904762,76.60403203881465,HOLD,-52.38095238095238,HOLD,57.63826606875934,HOLD,59.905074295780004,HOLD
2017-10-04,803.0,828.0,711.0,4460.543,58.90324416661101,HOLD,80.55555555555556,74.33862433862434,SELL,-19.444444444444443,SELL,71.74526400644906,HOLD,68.03239387540529,HOLD
2017-11-03,800.0,864.0,790.0,5142.0,58.58971667157411,HOLD,75.66539923954373,67.9466674713823,HOLD,-24.334600760456272,HOLD,95.35454102166625,HOLD,75.31556720744561,HOLD
2017-12-03,840.0,840.0,800.0,4919.5,61.52995498440932,HOLD,88.51674641148325,81.57923373552751,SELL,-11.483253588516746,SELL,94.55789904400547,HOLD,79.06485575861751,HOLD
2018-01-02,1000.0,1025.0,834.0,4920.391,70.54039380430143,SELL,92.35474006116208,85.51229523739634,SELL,-7.6452599388379205,SELL,183.5624652019358,SELL,81.3856488909024,SELL
2018-02-01,999.0,1049.0,900.0,1394.541,70.42936345358765,SELL,85.75498575498575,88.8754907425437,SELL,-14.245014245014245,SELL,184.61643741873664,SELL,82.17253516872563,SELL
2018-03-03,989.0,1000.0,950.0,5619.877,69.2554330132525,HOLD,82.8080229226361,86.97258291292798,SELL,-17.191977077363898,SELL,163.93884286387822,SELL,69.66415546522394,HOLD
2018-04-02,880.0,1000.0,880.0,3149.939,57.92239614130605,HOLD,51.57593123209169,73.37964663657117,HOLD,-48.42406876790831,HOLD,107.25247004414543,SELL,63.19160164699889,HOLD
2018-05-02,881.0,908.0,855.0,3950.355,57.99031651201736,HOLD,51.862464183381086,62.08213944603629,HOLD,-48.137535816618914,HOLD,67.05409029950837,HOLD,59.264508573382905,HOLD
2018-06-01,1016.0,1056.0,870.0,3916.308,65.97511804605148,HOLD,88.76404494382022,64.06748011976433,SELL,-11.235955056179776,SELL,135.98048555180276,SELL,63.045547908834216,HOLD
2018-07-01,1051.0,1090.0,980.0,5888.701,67.68976155171427,HOLD,89.70976253298153,76.77875722006094,SELL,-10.29023746701847,SELL,156.47771022306168,SELL,69.04596334479334,HOLD
2018-07-31,1139.0,1160.0,1080.0,4158.117,71.56917435616973,SELL,95.32293986636971,91.26558244772382,SELL,-4.67706013363029,SELL,182.23847640077278,SELL,72.13546631599792,HOLD
2018-08-30,1195.0,1220.0,1100.0,3223.55,73.73071829379103,SELL,95.08840864440079,93.37370368125066,SELL,-4.911591355599215,SELL,178.2651132847384,SELL,72.87591338077317,HOLD
2018-09-29,1185.0,1291.0,1084.0,4876.073,72.66825005987845,SELL,81.72413793103448,90.71182881393497,SELL,-18.275862068965516,SELL,157.14026492469614,SELL,74.68288092607733,HOLD
2018-10-29,1200.0,1350.0,1200.0,3559.087,73.29000219327459,SELL,76.52582159624413,84.44612272389311,HOLD,-23.474178403755868,HOLD,162.820204779308,SELL,79.63552063911595,HOLD
2018-11-28,1280.0,1280.0,1211.0,3575.956,76.37657245014647,SELL,87.5,81.91665317575952,SELL,-12.5,SELL,143.76491763509026,SELL,79.98288539260646,HOLD
2018-12-28,1350.0,1350.0,1280.0,4054.0,78.69636314161664,SELL,100.0,88.00860719874804,SELL,-0.0,SELL,153.94868377207598,SELL,80.37040381966459,SELL
2019-01-27,1410.0,1410.0,1320.0,4764.613,80.46693732910833,SELL,100.0,95.83333333333333,SELL,-0.0,SELL,149.66291523949326,SELL,81.15128057867418,SELL
2019-02-26,1380.0,1400.0,1370.0,2638.7110000000002,77.02011248751558,SELL,94.5945945945946,98.1981981981982,SELL,-5.405405405405405,SELL,130.31505577390263,SELL,80.8355219333164,SELL
2019-03-28,1380.0,1389.0,1370.0,4569.959,77.02011248751558,SELL,94.5945945945946,96.39639639639638,SELL,-5.405405405405405,SELL,112.54940681625348,SELL,72.83069511270196,HOLD
2019-04-27,1301.0,1330.0,1260.0,1903.0,68.10991583287408,HOLD,80.36036036036036,89.84984984984983,SELL,-19.63963963963964,SELL,74.51634835280295,HOLD,76.29187941547384,HOLD
2019-05-27,1260.0,1301.0,1260.0,1736.0,63.97349544237375,HOLD,72.97297297297297,82.64264264264263,HOLD,-27.027027027027028,HOLD,59.8354963959823,HOLD,77.12066885224687,HOLD
2019-06-26,1330.0,1340.0,1265.0,3363.128,67.59227207653944,HOLD,85.18518518518519,79.50617283950616,SELL,-14.814814814814815,SELL,68.50989602648096,HOLD,82.87891768337008,SELL
2019-07-26,1455.0,1500.0,1330.0,4893.0,72.83893437386935,SELL,91.34615384615384,83.16810400143733,SELL,-8.653846153846153,SELL,109.19769814620878,SELL,83.6797716831302,SELL
2019-08-25,1470.0,1500.0,1440.0,2008.731,73.39554918111585,SELL,92.85714285714286,89.79616062949395,SELL,-7.142857142857143,SELL,116.10486891385771,SELL,82.87220740281705,SELL
2019-09-24,1350.0,1470.0,1350.0,2984.7200000000003,62.38168487869334,HOLD,63.94230769230769,82.71520146520145,HOLD,-36.05769230769231,HOLD,75.45731707317071,HOLD,76.20467039509867,HOLD
2019-10-24,1500.0,1503.0,1380.0,1836.144,68.70372615002327,HOLD,99.28400954653938,85.36115336532997,SELL,-0.7159904534606205,SELL,101.52276282792069,SELL,75.78805145492831,HOLD
