Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-20,22850.0,22850.0,22850.0,10.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-22,19000.0,19000.0,19000.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-05,18500.0,18500.0,18500.0,11.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-05,17499.0,18000.0,17499.0,40.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-12,17498.0,17498.0,17498.0,3.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-26,17000.0,17000.0,17000.0,46.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-02,17000.0,17000.0,17000.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-09,17510.0,17510.0,17510.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-16,18000.0,18000.0,18000.0,24.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-04-23,21600.0,21600.0,21600.0,1.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-14,21000.0,21000.0,21000.0,27.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-21,21500.0,21500.0,21500.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-05-28,21000.0,21000.0,21000.0,9.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-09-03,19010.0,19010.0,19010.0,3.0,40.72657277269426,HOLD,34.35897435897436,,HOLD,-65.64102564102564,HOLD,,HOLD,30.789053950749334,HOLD
2015-09-17,21997.0,21997.0,21997.0,6.0,56.00387953200603,HOLD,100.0,,SELL,-0.0,SELL,,HOLD,33.15866368379328,HOLD
2015-10-08,22000.0,22000.0,22000.0,120.0,56.01614123531202,HOLD,100.0,78.11965811965813,SELL,-0.0,SELL,,HOLD,60.50486295641561,HOLD
2015-10-15,22000.0,22000.0,22000.0,14.0,56.01614123531202,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,62.467867143592336,HOLD
2015-10-22,22000.0,22000.0,22000.0,7.0,56.01614123531202,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,70.3989179547217,HOLD
2015-11-05,22000.0,22000.0,22000.0,10.0,56.01614123531203,HOLD,100.0,100.0,SELL,-0.0,SELL,,HOLD,71.06921455936612,HOLD
2015-11-19,22000.0,22000.0,22000.0,6.0,56.01614123531203,HOLD,100.0,100.0,SELL,-0.0,SELL,67.04458916236958,HOLD,82.81578995202548,SELL
2015-11-26,21500.0,21500.0,21500.0,7.0,52.48478134782494,HOLD,88.8641425389755,96.28804751299184,SELL,-11.135857461024498,SELL,53.81609140133943,HOLD,80.26265926114382,SELL
2015-12-03,21000.0,21000.0,21000.0,3.0,49.14806061573937,HOLD,75.0,87.9547141796585,HOLD,-25.0,HOLD,32.77671034735869,HOLD,78.07549242734902,HOLD
2015-12-17,20500.0,20500.0,20500.0,7.0,45.998738572236526,HOLD,49.83277591973244,71.23230615290265,HOLD,-50.16722408026756,HOLD,11.752133723748353,HOLD,73.36974680513435,HOLD
