Date,Last trade price,Max,Min,Avg.,Price %chg.,Volume,Turnover in BEST in denars,Total turnover in denars,Close,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal
2014-11-27,2290.0,2290.0,2290.0,"2.290,00","-2,97",19.0,43.510,43.510,2290.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-02,2300.0,2300.0,2300.0,"2.300,00","0,44",170.0,391.000,391.000,2300.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2014-12-23,1840.0,1840.0,1840.0,"1.840,00","-20,00",8.0,14.720,14.720,1840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-01-26,1840.0,1840.0,1840.0,"1.840,00","0,00",6.0,11.040,11.040,1840.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-05,1785.0,1785.0,1785.0,"1.785,00","-2,99",33.0,58.905,58.905,1785.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-10,1732.0,1732.0,1732.0,"1.732,00","-2,97",8.0,13.856,13.856,1732.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-11,1732.0,1732.0,1732.0,"1.732,00","0,00",21.0,36.372,36.372,1732.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-12,1732.0,1732.0,1732.0,"1.732,00","0,00",135.0,233.820,233.820,1732.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-17,1710.0,1710.0,1710.0,"1.710,00","-1,27",14.0,23.940,23.940,1710.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-02-24,1720.0,1720.0,1720.0,"1.720,00","0,58",40.0,68.800,68.800,1720.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-12,1800.0,1800.0,1800.0,"1.800,00","4,65",5.0,9.000,9.000,1800.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-16,1746.0,1746.0,1746.0,"1.746,00","-3,00",55.0,96.030,96.030,1746.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-19,1711.0,1711.0,1711.0,"1.711,00","-2,00",30.0,51.330,51.330,1711.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD
2015-03-23,1711.0,1711.0,1711.0,"1.711,00","0,00",2.0,3.422,3.422,1711.0,17.541997866074496,BUY,0.1694915254237288,,BUY,-99.83050847457628,BUY,,HOLD,64.43268859412217,HOLD
2015-04-08,1750.0,1750.0,1750.0,"1.750,00","2,28",20.0,35.000,35.000,1750.0,24.864681328356355,BUY,6.779661016949152,,BUY,-93.22033898305085,BUY,,HOLD,66.0651130830692,HOLD
2015-04-09,1800.0,1800.0,1800.0,"1.800,00","2,86",200.0,360.000,360.000,1800.0,33.07089046398002,HOLD,69.23076923076923,25.39330725771404,HOLD,-30.76923076923077,HOLD,,HOLD,64.6271568015025,HOLD
2015-04-15,1750.0,1750.0,1750.0,"1.750,00","-2,78",10.0,17.500,17.500,1750.0,29.590446471643673,BUY,30.76923076923077,35.59322033898305,HOLD,-69.23076923076923,HOLD,,HOLD,64.38250397284169,HOLD
2015-04-28,1802.0,1802.0,1802.0,"1.802,00","2,97",15.0,27.030,27.030,1802.0,37.01459588181982,HOLD,100.0,66.66666666666667,SELL,-0.0,SELL,,HOLD,65.64695406171074,HOLD
2015-05-08,1800.0,1800.0,1800.0,"1.800,00","-0,11",45.0,81.000,81.000,1800.0,36.85364000523629,HOLD,97.82608695652173,76.19843924191751,SELL,-2.1739130434782608,SELL,,HOLD,63.79565174106493,HOLD
2015-05-20,1798.0,1798.0,1798.0,"1.798,00","-0,11",20.0,35.960,35.960,1798.0,36.68186108416677,HOLD,95.65217391304348,97.82608695652175,SELL,-4.3478260869565215,SELL,-12.964073851896314,HOLD,62.04520910140394,HOLD
2015-05-22,1745.0,1745.0,1745.0,"1.745,00","-2,95",95.0,165.775,165.775,1745.0,32.37527174388357,HOLD,38.04347826086956,77.17391304347827,HOLD,-61.95652173913044,HOLD,-45.76751721344679,HOLD,51.456455606286,HOLD
2015-06-01,1710.0,1710.0,1710.0,"1.710,00","-2,01",24.0,41.040,41.040,1710.0,29.880415163795547,BUY,0.0,44.56521739130435,BUY,-100.0,BUY,-89.08803373748029,HOLD,49.37055822521619,HOLD
2015-06-02,1750.0,1750.0,1750.0,"1.750,00","2,34",46.0,80.500,80.500,1750.0,35.95471154778322,HOLD,43.47826086956522,27.17391304347826,HOLD,-56.52173913043478,HOLD,-12.464817048653083,HOLD,54.288961752723424,HOLD
2015-06-05,1750.0,1750.0,1750.0,"1.750,00","0,00",10.0,17.500,17.500,1750.0,35.95471154778322,HOLD,43.47826086956522,28.985507246376812,HOLD,-56.52173913043478,HOLD,-4.1242115477924415,HOLD,51.14456114741068,HOLD
2015-07-02,1711.0,1711.0,1711.0,"1.711,00","-2,23",100.0,171.100,171.100,1711.0,32.74695400481929,HOLD,1.0869565217391304,29.34782608695652,BUY,-98.91304347826087,BUY,-92.03980099502488,HOLD,43.237127505345164,HOLD
2015-07-08,1711.0,1711.0,1711.0,"1.711,00","0,00",26.0,44.486,44.486,1711.0,32.7469540048193,HOLD,1.0869565217391304,15.217391304347826,BUY,-98.91304347826087,BUY,-86.38193067820038,HOLD,47.13126093215848,HOLD
2015-07-14,1711.0,1711.0,1711.0,"1.711,00","0,00",33.0,56.463,56.463,1711.0,32.7469540048193,HOLD,1.0869565217391304,1.0869565217391304,BUY,-98.91304347826087,BUY,-81.0685249709642,HOLD,49.51497923450963,HOLD
2015-07-15,1710.0,1710.0,1710.0,"1.710,00","-0,06",1.0,1.710,1.710,1710.0,32.65365715121487,HOLD,0.0,0.7246376811594203,BUY,-100.0,BUY,-77.8001341381622,HOLD,49.43169243027105,HOLD
2015-09-01,1680.0,1680.0,1680.0,"1.680,00","-1,75",28.0,47.040,47.040,1680.0,29.90137365493591,BUY,0.0,0.36231884057971014,BUY,-100.0,BUY,-134.0959644105496,BUY,45.45061269327422,HOLD
2015-09-02,1680.0,1680.0,1680.0,"1.680,00","0,00",10.0,16.800,16.800,1680.0,29.90137365493591,BUY,0.0,0.0,BUY,-100.0,BUY,-121.37412137412129,BUY,16.081536816444952,BUY
2015-09-07,1680.0,1680.0,1680.0,"1.680,00","0,00",40.0,67.200,67.200,1680.0,29.90137365493591,BUY,0.0,0.0,BUY,-100.0,BUY,-109.07297830374746,BUY,16.513733289309002,BUY
2015-09-10,1680.0,1680.0,1680.0,"1.680,00","0,00",22.0,36.960,36.960,1680.0,29.90137365493591,BUY,0.0,0.0,BUY,-100.0,BUY,-97.10550887021476,HOLD,12.898057280192262,BUY
2015-10-14,1650.0,1650.0,1650.0,"1.650,00","-1,79",11.0,18.150,18.150,1650.0,26.85662463009227,BUY,0.0,0.0,BUY,-100.0,BUY,-136.905536047167,BUY,14.342345552536628,BUY
2015-10-16,1699.0,1699.0,1699.0,"1.699,00","2,97",19.0,32.281,32.281,1699.0,37.96730204970674,HOLD,49.0,16.333333333333332,HOLD,-51.0,HOLD,-50.19024411098272,HOLD,20.226292871541403,HOLD
2015-11-04,1600.0,1600.0,1600.0,"1.600,00","-5,83",616.0,985.600,985.600,1600.0,28.53582403072339,BUY,0.0,16.333333333333332,BUY,-100.0,BUY,-188.1519539156157,BUY,8.187837995790673,BUY
2016-02-02,1600.0,1600.0,1600.0,"1.600,00","0,00",246.0,393.600,393.600,1600.0,28.53582403072339,BUY,0.0,16.333333333333332,BUY,-100.0,BUY,-176.16209773539916,BUY,8.439284904529472,BUY
2016-02-12,1601.0,1601.0,1601.0,"1.601,00","0,06",5.0,8.005,8.005,1601.0,28.74318670631007,BUY,0.6666666666666666,0.2222222222222222,BUY,-99.33333333333333,BUY,-148.21247647995384,BUY,3.18747102191179,BUY
2016-03-07,1700.0,1700.0,1700.0,"1.700,00","6,18",25.0,42.500,42.500,1700.0,45.578836940038734,HOLD,90.09009009009009,30.25225225225225,SELL,-9.90990990990991,SELL,2.7282940138020306,HOLD,6.337024432288771,BUY
2016-04-01,1800.0,1800.0,1800.0,"1.800,00","5,88",15.0,27.000,27.000,1800.0,56.70592351674858,HOLD,100.0,63.58558558558559,SELL,-0.0,SELL,163.21617717862307,SELL,9.445695809809294,BUY
2016-04-07,1750.0,1750.0,1750.0,"1.750,00","-2,78",20.0,35.000,35.000,1750.0,51.08203706311352,HOLD,75.0,88.36336336336336,HOLD,-25.0,HOLD,91.03146558976937,HOLD,9.169571848330307,BUY
2016-04-11,1700.0,1700.0,1700.0,"1.700,00","-2,86",20.0,34.000,34.000,1700.0,46.152685679521234,HOLD,50.0,75.0,HOLD,-50.0,HOLD,11.193372113520029,HOLD,8.916368739675434,BUY
2016-07-19,1600.0,1600.0,1600.0,"1.600,00","-5,88",2.0,3.200,17.835.504,1600.0,38.210818958599695,HOLD,0.0,41.666666666666664,BUY,-100.0,BUY,-139.14210173237063,BUY,8.905591932354298,BUY
2016-07-27,1600.0,1600.0,1600.0,"1.600,00","0,00",35.0,56.000,56.000,1600.0,38.210818958599695,HOLD,0.0,16.666666666666668,BUY,-100.0,BUY,-123.45962495216243,BUY,9.258890680556206,BUY
2016-07-28,1600.0,1600.0,1600.0,"1.600,00","0,00",19.0,30.400,30.400,1600.0,38.210818958599695,HOLD,0.0,0.0,BUY,-100.0,BUY,-105.77305426020335,BUY,9.258890680556206,BUY
2016-07-29,1700.0,1700.0,1700.0,"1.700,00","6,25",40.0,68.000,8.282.400,1700.0,49.14141696563159,HOLD,50.0,16.666666666666668,HOLD,-50.0,HOLD,39.9533391659377,HOLD,14.180497329581343,BUY
2016-08-23,1800.0,1800.0,1800.0,"1.800,00","5,88",15.0,27.000,27.000,1800.0,57.27997815421284,HOLD,100.0,50.0,SELL,-0.0,SELL,167.8441008839289,SELL,15.989712165504827,BUY
2016-08-24,1800.0,1800.0,1800.0,"1.800,00","0,00",5.0,9.000,9.000,1800.0,57.27997815421284,HOLD,100.0,83.33333333333333,SELL,-0.0,SELL,150.33301617507138,SELL,16.219568409597443,BUY
2016-09-09,1799.0,1799.0,1799.0,"1.799,00","-0,06",35.0,62.965,62.965,1799.0,57.17386961626285,HOLD,99.5,99.83333333333333,SELL,-0.5,SELL,131.19795746656214,SELL,13.338668646145038,BUY
2016-09-28,1745.0,1745.0,1745.0,"1.745,00","-3,00",20.0,34.900,34.900,1745.0,51.61366667865447,HOLD,72.5,90.66666666666667,HOLD,-27.5,HOLD,61.8968386023294,HOLD,50.356131593542926,HOLD
2016-10-05,1745.0,1745.0,1745.0,"1.745,00","0,00",65.0,113.425,113.425,1745.0,51.61366667865447,HOLD,72.5,81.5,HOLD,-27.5,HOLD,56.40984354453475,HOLD,50.356131593542926,HOLD
2016-10-06,1530.0,1530.0,1530.0,"1.530,00","-12,32",120.0,183.600,183.600,1530.0,35.61865303701616,HOLD,0.0,48.333333333333336,BUY,-100.0,BUY,-146.82680690782468,BUY,31.746644408634324,HOLD
2016-11-15,1800.0,1800.0,1800.0,"1.800,00","17,65",345.0,621.000,621.000,1800.0,54.63264634060491,HOLD,100.0,57.5,SELL,-0.0,SELL,97.37476560407175,HOLD,67.7508628432566,HOLD
2016-11-18,2160.0,2160.0,2160.0,"2.160,00","20,00",100.0,216.000,216.000,2160.0,68.14245074323554,HOLD,100.0,66.66666666666667,SELL,-0.0,SELL,310.9522056890478,SELL,72.49166773615211,HOLD
2016-11-23,2150.0,2150.0,2150.0,"2.150,00","-0,46",64.0,137.600,137.600,2150.0,67.54078690062937,HOLD,98.41269841269842,99.47089947089948,SELL,-1.5873015873015872,SELL,236.4106988783434,SELL,67.13415666317309,HOLD
2016-11-28,2150.0,2150.0,2150.0,"2.150,00","0,00",39.0,83.850,83.850,2150.0,67.54078690062937,HOLD,98.41269841269842,98.94179894179895,SELL,-1.5873015873015872,SELL,192.66515950766143,SELL,68.81961802158366,HOLD
2016-12-07,2500.0,2500.0,2500.0,"2.500,00","16,28",59.0,147.500,147.500,2500.0,76.10490048720646,SELL,100.0,98.94179894179895,SELL,-0.0,SELL,267.79463243873977,SELL,72.03558070554163,HOLD
2016-12-16,2500.0,2500.0,2500.0,"2.500,00","0,00",30.0,75.000,75.000,2500.0,76.10490048720646,SELL,100.0,99.47089947089948,SELL,-0.0,SELL,197.00761489304708,SELL,72.03558070554163,HOLD
2017-01-04,2500.0,2500.0,2500.0,"2.500,00","0,00",60.0,150.000,150.000,2500.0,76.10490048720646,SELL,100.0,100.0,SELL,-0.0,SELL,155.87752941024544,SELL,72.03558070554163,HOLD
2017-01-10,2500.0,2500.0,2500.0,"2.500,00","0,00",380.0,950.000,950.000,2500.0,76.10490048720646,SELL,100.0,100.0,SELL,-0.0,SELL,128.92948052905194,SELL,70.70632931743751,HOLD
2017-01-13,2500.0,2500.0,2500.0,"2.500,00","0,00",1.7,4.250.000,4.250.000,2500.0,76.10490048720646,SELL,100.0,100.0,SELL,-0.0,SELL,110.3457590491626,SELL,70.14281490347793,HOLD
2017-01-17,2500.0,2500.0,2500.0,"2.500,00","0,00",52.0,130.000,130.000,2500.0,76.10490048720646,SELL,100.0,100.0,SELL,-0.0,SELL,96.86980623079691,HOLD,70.14281490347793,HOLD
2017-01-18,2575.0,2575.0,2575.0,"2.575,00","3,00",40.0,103.000,103.000,2575.0,78.04153525139454,SELL,100.0,100.0,SELL,-0.0,SELL,99.7300944669366,HOLD,75.33250207813799,HOLD
2017-01-25,2501.0,2501.0,2501.0,"2.501,00","-2,87",480.0,1.200.480,1.200.480,2501.0,71.85364209735073,SELL,92.91866028708134,97.63955342902712,SELL,-7.08133971291866,SELL,77.95639726932394,HOLD,41.6797614576227,HOLD
2017-01-27,2500.0,2500.0,2500.0,"2.500,00","-0,04",62.0,155.000,155.000,2500.0,71.77082540018289,SELL,92.82296650717703,95.24720893141945,SELL,-7.177033492822966,SELL,71.96853611196241,HOLD,39.34258984581322,HOLD
2017-02-01,2500.0,2500.0,2500.0,"2.500,00","0,00",35.0,87.500,87.500,2500.0,71.77082540018289,SELL,90.3225806451613,92.02140247980655,SELL,-9.67741935483871,SELL,65.0825907977698,HOLD,42.14168907764921,HOLD
2017-02-02,2500.0,2500.0,2500.0,"2.500,00","0,00",55.0,137.500,137.500,2500.0,71.77082540018289,SELL,82.3529411764706,88.49949610960296,SELL,-17.647058823529413,SELL,59.132474872697216,HOLD,23.8061217199604,HOLD
2017-02-08,2510.0,2510.0,2510.0,"2.510,00","0,40",100.0,251.000,251.000,2510.0,72.1714282982698,SELL,84.70588235294117,85.79380139152435,SELL,-15.294117647058824,SELL,56.18792545474836,HOLD,25.14313790371908,HOLD
