Date,Close,Max,Min,Volume,RSI,RSI_Signal,Stoch_K,Stoch_D,Stoch_Signal,WilliamsR,WilliamsR_Signal,CCI,CCI_Signal,MFI,MFI_Signal,SMA,EMA,WMA,SMA_Signal,EMA_Signal,WMA_Signal
2014-11-27,2300.0,2300.0,2290.0,189.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2014-12-18,1840.0,1840.0,1840.0,8.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-01-22,1840.0,1840.0,1840.0,6.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-05,1732.0,1785.0,1732.0,62.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-12,1710.0,1732.0,1710.0,149.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-02-19,1720.0,1720.0,1720.0,40.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-12,1746.0,1800.0,1746.0,60.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-03-19,1711.0,1711.0,1711.0,32.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-02,1750.0,1750.0,1750.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-09,1750.0,1800.0,1750.0,210.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-04-23,1802.0,1802.0,1802.0,15.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-07,1800.0,1800.0,1800.0,45.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-14,1798.0,1798.0,1798.0,20.0,,HOLD,,,HOLD,,HOLD,,HOLD,,HOLD,,,,HOLD,HOLD,HOLD
2015-05-21,1745.0,1745.0,1745.0,95.0,21.30510909827659,BUY,5.932203389830509,,BUY,-94.0677966101695,BUY,,HOLD,45.888242228177845,HOLD,1803.142857142857,1848.9177051644606,1768.419047619048,SELL,SELL,SELL
2015-05-28,1750.0,1750.0,1710.0,70.0,22.300357979264447,BUY,30.76923076923077,,HOLD,-69.23076923076923,HOLD,,HOLD,42.029853251370575,HOLD,1763.857142857143,1835.7286778091993,1761.3333333333333,SELL,SELL,SELL
2015-06-04,1750.0,1750.0,1750.0,10.0,22.300357979264447,BUY,30.76923076923077,22.490221642764016,HOLD,-69.23076923076923,HOLD,,HOLD,43.15726811232197,HOLD,1757.4285714285713,1824.2981874346394,1759.4857142857143,SELL,SELL,SELL
2015-07-02,1711.0,1711.0,1711.0,126.0,20.01098006388422,BUY,1.0869565217391304,20.875139353400225,BUY,-98.91304347826087,BUY,,HOLD,37.56643695612332,HOLD,1748.2142857142858,1809.1917624433543,1753.2952380952383,SELL,SELL,SELL
2015-07-09,1710.0,1711.0,1710.0,34.0,19.954412863607473,BUY,0.0,10.618729096989966,BUY,-100.0,BUY,,HOLD,38.73795293265705,HOLD,1746.642857142857,1795.9661941175737,1748.2,SELL,SELL,SELL
2015-08-27,1680.0,1680.0,1680.0,38.0,18.2845298006513,BUY,0.0,0.36231884057971014,BUY,-100.0,BUY,,HOLD,43.970288387756085,HOLD,1744.5,1780.5040349018973,1739.3142857142857,SELL,SELL,SELL
2015-09-03,1680.0,1680.0,1680.0,40.0,18.2845298006513,BUY,0.0,0.0,BUY,-100.0,BUY,-92.91165132562367,HOLD,41.12118172861661,HOLD,1741.642857142857,1767.1034969149778,1730.7142857142856,SELL,SELL,SELL
2015-09-10,1680.0,1680.0,1680.0,22.0,18.2845298006513,BUY,0.0,0.0,BUY,-100.0,BUY,-117.17959832394187,BUY,36.12444584139497,HOLD,1736.9285714285713,1755.4896973263142,1722.4952380952382,SELL,SELL,SELL
2015-10-08,1650.0,1650.0,1650.0,11.0,16.55427045934333,BUY,0.0,0.0,BUY,-100.0,BUY,-152.72359485623488,BUY,37.21669080152227,HOLD,1732.5714285714287,1741.4244043494723,1710.904761904762,SELL,SELL,SELL
2015-10-15,1699.0,1699.0,1699.0,19.0,28.46187652341365,BUY,32.23684210526316,10.74561403508772,HOLD,-67.76315789473684,HOLD,-60.72669826224362,HOLD,37.07535766326666,HOLD,1728.9285714285713,1735.767817102876,1706.4285714285713,SELL,SELL,SELL
2015-10-29,1600.0,1600.0,1600.0,616.0,21.71854078057332,BUY,0.0,10.74561403508772,BUY,-100.0,BUY,-205.71951879448852,BUY,4.214734092754767,BUY,1718.2142857142858,1717.6654414891593,1689.2380952380954,SELL,SELL,SELL
2016-01-28,1600.0,1600.0,1600.0,246.0,21.71854078057332,BUY,0.0,10.74561403508772,BUY,-100.0,BUY,-172.24051713623584,BUY,2.7726814488055567,BUY,1703.7857142857142,1701.9767159572714,1673.4761904761904,SELL,SELL,SELL
2016-02-11,1601.0,1601.0,1601.0,5.0,21.93521169265844,BUY,0.5050505050505051,0.16835016835016836,BUY,-99.4949494949495,BUY,-145.68258562469813,BUY,3.3549405921337154,BUY,1689.5714285714287,1688.5131538296353,1659.7714285714285,SELL,SELL,SELL
2016-03-03,1700.0,1700.0,1700.0,25.0,39.722723402415255,HOLD,66.66666666666667,22.39057239057239,HOLD,-33.333333333333336,HOLD,-11.686295991965634,HOLD,5.800382311858897,BUY,1682.5714285714287,1690.0447333190173,1661.161904761905,BUY,BUY,BUY
2016-03-31,1800.0,1800.0,1800.0,15.0,51.6955489021113,HOLD,100.0,55.72390572390572,SELL,-0.0,SELL,109.14944547231562,SELL,8.004502634921835,BUY,1686.5,1704.7054355431483,1676.8190476190475,BUY,BUY,BUY
2016-04-07,1700.0,1750.0,1700.0,40.0,42.58603987582984,HOLD,50.0,72.22222222222223,HOLD,-50.0,HOLD,6.950534281724461,HOLD,8.27994900083263,BUY,1682.9285714285713,1704.0780441373952,1678.6190476190477,BUY,SELL,BUY
2016-07-14,1600.0,1600.0,1600.0,2.0,35.79352006879954,HOLD,0.0,50.0,BUY,-100.0,BUY,-127.17917052588278,BUY,7.208630448200239,BUY,1672.2142857142858,1690.2009715857425,1667.561904761905,SELL,SELL,SELL
2016-07-21,1600.0,1600.0,1600.0,35.0,35.79352006879954,HOLD,0.0,16.666666666666668,BUY,-100.0,BUY,-113.62918106656112,BUY,8.397315575870792,BUY,1664.2857142857142,1678.1741753743102,1657.9333333333332,SELL,SELL,SELL
2016-07-28,1700.0,1700.0,1600.0,59.0,45.81656267475693,HOLD,50.0,16.666666666666668,HOLD,-50.0,HOLD,-25.834159233564524,HOLD,15.443977433060056,BUY,1663.5714285714287,1681.0842853244021,1662.6952380952382,BUY,BUY,BUY
2016-08-18,1800.0,1800.0,1800.0,20.0,53.61462145173025,HOLD,100.0,50.0,SELL,-0.0,SELL,149.928563578415,SELL,18.497588406570202,BUY,1672.142857142857,1696.939713947815,1680.8857142857146,BUY,BUY,BUY
2016-09-08,1799.0,1799.0,1799.0,35.0,53.5316525606412,HOLD,99.5,83.16666666666667,SELL,-0.5,SELL,137.69431403234194,SELL,17.655251087063164,BUY,1680.642857142857,1710.5477520881066,1697.8000000000002,BUY,BUY,BUY
2016-09-22,1745.0,1745.0,1745.0,20.0,49.11190686420573,HOLD,72.5,90.66666666666667,HOLD,-27.5,HOLD,69.02691511387185,HOLD,17.220595451987776,BUY,1685.2857142857142,1715.1413851430257,1706.3809523809525,BUY,BUY,BUY
2016-09-29,1745.0,1745.0,1745.0,65.0,49.11190686420573,HOLD,72.5,81.5,HOLD,-27.5,HOLD,69.6619864794594,HOLD,17.443935752901197,BUY,1692.0714285714287,1719.1225337906224,1714.3428571428572,BUY,BUY,BUY
2016-10-06,1530.0,1530.0,1530.0,120.0,35.55633853737932,HOLD,0.0,48.333333333333336,BUY,-100.0,BUY,-168.55656599678136,BUY,13.660203210878038,BUY,1680.0,1693.9061959518729,1692.7333333333331,SELL,SELL,SELL
2016-11-10,1800.0,1800.0,1800.0,345.0,53.0733634806305,HOLD,100.0,57.5,SELL,-0.0,SELL,119.6085037275074,SELL,70.21239226530204,HOLD,1694.2857142857142,1708.052036491623,1708.7333333333331,BUY,BUY,BUY
2016-11-17,2150.0,2160.0,2150.0,164.0,65.98194632846165,HOLD,98.41269841269842,66.13756613756614,SELL,-1.5873015873015872,SELL,332.350085878575,SELL,77.04620015374788,HOLD,1733.5714285714287,1766.9784316260734,1769.4952380952382,BUY,BUY,BUY
2016-11-24,2150.0,2150.0,2150.0,39.0,65.98194632846165,HOLD,98.41269841269842,98.94179894179895,SELL,-1.5873015873015872,SELL,244.98662448987542,SELL,72.93263729017838,HOLD,1772.7857142857142,1818.0479740759304,1825.0190476190478,BUY,BUY,BUY
2016-12-01,2500.0,2500.0,2500.0,59.0,74.20975198011384,SELL,100.0,98.94179894179895,SELL,-0.0,SELL,304.3670848548896,SELL,74.58485006738708,HOLD,1829.9285714285713,1908.9749108658064,1921.9809523809524,BUY,BUY,BUY
2016-12-15,2500.0,2500.0,2500.0,30.0,74.20975198011384,SELL,100.0,99.47089947089948,SELL,-0.0,SELL,223.5225628135234,SELL,74.17956741677551,HOLD,1879.9285714285713,1987.7782560836988,2011.3238095238096,BUY,BUY,BUY
2016-12-29,2500.0,2500.0,2500.0,60.0,74.20975198011384,SELL,100.0,100.0,SELL,-0.0,SELL,170.09674582233944,SELL,77.31510407849824,HOLD,1937.0714285714287,2056.0744886058724,2094.0,BUY,BUY,BUY
2017-01-05,2500.0,2500.0,2500.0,380.0,74.20975198011384,SELL,100.0,100.0,SELL,-0.0,SELL,137.7910539215686,SELL,77.4677032865703,HOLD,2001.357142857143,2115.264556791756,2169.057142857143,BUY,BUY,BUY
2017-01-12,2575.0,2575.0,2500.0,93.7,75.8904714579139,SELL,100.0,100.0,SELL,-0.0,SELL,124.73029188890612,SELL,80.36183697714799,SELL,2071.0,2176.5626158861887,2245.5428571428574,BUY,BUY,BUY
2017-01-19,2501.0,2501.0,2501.0,480.0,70.97568718165522,SELL,92.91866028708134,97.63955342902712,SELL,-7.08133971291866,SELL,99.29978830809314,HOLD,47.14395986105751,HOLD,2128.214285714286,2219.82093376803,2302.8761904761905,BUY,BUY,BUY
2017-01-26,2500.0,2500.0,2500.0,97.0,70.90885730496767,SELL,92.82296650717703,95.24720893141945,SELL,-7.177033492822966,SELL,87.51307388501223,HOLD,42.935772192669745,HOLD,2178.214285714286,2257.1781425989593,2352.4476190476194,BUY,BUY,BUY
2017-02-02,2510.0,2510.0,2500.0,155.0,71.20088555821582,SELL,93.77990430622009,93.17384370015948,SELL,-6.220095693779904,SELL,79.45279942018475,HOLD,50.054157384076724,HOLD,2229.0,2290.887723585765,2396.685714285714,BUY,BUY,BUY
2017-02-09,2700.0,2700.0,2700.0,89.0,76.10826897752148,SELL,100.0,95.53429027113236,SELL,-0.0,SELL,103.02655232369668,SELL,53.770225509447016,HOLD,2297.214285714286,2345.436027107663,2459.485714285714,BUY,BUY,BUY
2017-02-16,2700.0,2700.0,2700.0,39.0,76.10826897752148,SELL,100.0,97.92663476874003,SELL,-0.0,SELL,94.20095807670563,HOLD,53.770225509447016,HOLD,2365.4285714285716,2392.711223493308,2513.190476190476,BUY,BUY,BUY
2017-02-23,2600.0,2600.0,2600.0,45.0,68.93785261326282,HOLD,88.88888888888889,96.2962962962963,SELL,-11.11111111111111,SELL,69.70591854312782,HOLD,54.75587250515723,HOLD,2441.8571428571427,2420.3497270275334,2544.4666666666667,BUY,BUY,BUY
2017-05-04,2500.0,2500.0,2500.0,51.0,62.587672880052644,HOLD,63.63636363636363,84.17508417508417,HOLD,-36.36363636363637,HOLD,46.4155767528764,HOLD,43.58363497672581,HOLD,2491.8571428571427,2430.9697634238623,2552.2190476190476,BUY,BUY,SELL
2017-05-11,2500.0,2500.0,2500.0,91.0,62.587672880052644,HOLD,63.63636363636363,72.05387205387206,HOLD,-36.36363636363637,HOLD,42.26240538267452,HOLD,36.433967579348526,HOLD,2516.8571428571427,2440.1737949673475,2553.304761904762,SELL,BUY,SELL
2017-05-18,2500.0,2500.0,2500.0,164.0,62.587672880052644,HOLD,0.0,42.42424242424242,BUY,-100.0,BUY,38.401462472086884,HOLD,37.56429412283423,HOLD,2541.8571428571427,2448.1506223050346,2551.0571428571434,SELL,BUY,SELL
2017-05-25,2500.0,2500.0,2500.0,124.0,62.587672880052644,HOLD,0.0,21.21212121212121,BUY,-100.0,BUY,34.45310400429989,HOLD,33.960234784746945,HOLD,2541.8571428571427,2455.0638726643633,2545.476190476191,SELL,BUY,SELL
2017-06-01,2600.0,2600.0,2600.0,5.0,66.71201350888055,HOLD,50.0,16.666666666666668,HOLD,-50.0,HOLD,61.05751819049812,HOLD,34.294515911947755,HOLD,2549.0,2474.3886896424483,2553.2285714285713,BUY,BUY,BUY
2017-06-08,2502.0,2502.0,2501.0,53.0,59.75927519365772,HOLD,1.0,17.0,BUY,-99.0,BUY,19.974772346344558,HOLD,32.61094401611352,HOLD,2549.1428571428573,2478.070197690122,2546.961904761905,SELL,BUY,SELL
2017-06-15,2501.0,2501.0,2501.0,25.0,59.69091257953363,HOLD,0.5,17.166666666666668,BUY,-99.5,BUY,2.7095057156140725,HOLD,31.87307488403316,HOLD,2549.214285714286,2481.1275046647725,2540.5428571428574,SELL,BUY,SELL
2017-06-22,2500.0,2500.0,2500.0,183.0,59.61746600660041,HOLD,0.0,0.5,BUY,-100.0,BUY,-18.071529092055847,HOLD,21.524115281171674,HOLD,2543.8571428571427,2483.643837376136,2533.9809523809527,SELL,BUY,SELL
2017-06-29,2521.0,2521.0,2500.0,107.0,60.71076970287201,HOLD,10.5,3.6666666666666665,BUY,-89.5,BUY,-27.303675494777668,HOLD,44.42116132858336,HOLD,2545.285714285714,2488.624659059318,2530.933333333333,SELL,BUY,SELL
2017-07-06,2500.0,2500.0,2500.0,14.0,58.99081761925289,HOLD,0.0,3.5,BUY,-100.0,BUY,-46.690900698170516,HOLD,49.42260881770008,HOLD,2545.285714285714,2490.1413711847426,2524.8952380952383,SELL,BUY,SELL
2017-07-13,2700.0,2701.0,2700.0,194.0,68.22389796353549,HOLD,99.50248756218906,36.66749585406302,SELL,-0.4975124378109453,SELL,177.57115319197248,SELL,52.882543521059084,HOLD,2558.8571428571427,2518.1225216934436,2545.5238095238096,BUY,BUY,BUY
2017-07-20,3031.0,3031.0,2787.0,162.0,77.3235270733526,SELL,100.0,66.50082918739635,SELL,-0.0,SELL,299.7928149798683,SELL,57.93374497891377,HOLD,2582.5,2586.506185467651,2608.4761904761904,BUY,BUY,BUY
2017-08-31,2551.0,2551.0,2551.0,32.0,53.429015074498594,HOLD,9.6045197740113,69.70233577873346,BUY,-90.3954802259887,BUY,-14.144309104901234,HOLD,55.87527178636294,HOLD,2571.8571428571427,2581.7720274052976,2604.27619047619,SELL,SELL,SELL
2017-09-07,2600.0,2600.0,2600.0,32.0,54.95915983108704,HOLD,18.832391713747647,42.81230382925298,BUY,-81.16760828625236,BUY,22.505939792694914,HOLD,60.385052957151,HOLD,2571.8571428571427,2584.2024237512583,2608.0285714285715,BUY,BUY,SELL
2017-09-21,2501.0,2522.0,2501.0,41.0,51.29230978535935,HOLD,0.18832391713747645,9.541745134965476,BUY,-99.81167608286252,BUY,-49.97283373591744,HOLD,61.05045358411398,HOLD,2571.9285714285716,2573.1087672510907,2598.5809523809526,SELL,SELL,SELL
2017-09-28,2501.0,2501.0,2501.0,24.0,51.292309785359365,HOLD,0.18832391713747645,6.403013182674201,BUY,-99.81167608286252,BUY,-55.533726260641686,HOLD,59.456507145551896,HOLD,2572.0,2563.4942649509453,2589.1238095238095,SELL,SELL,SELL
2017-10-12,2635.0,2635.0,2631.0,105.0,55.91007064700614,HOLD,25.423728813559322,8.600125549278092,HOLD,-74.57627118644068,HOLD,43.162956643139786,HOLD,63.809648794822785,HOLD,2581.6428571428573,2573.028362957486,2597.5238095238096,BUY,BUY,BUY
2017-10-19,2637.0,2637.0,2637.0,10.0,55.97715510088191,HOLD,25.800376647834273,17.137476459510356,HOLD,-74.19962335216573,HOLD,50.40835091135302,HOLD,64.1764328859314,HOLD,2591.4285714285716,2581.5579145631546,2604.904761904762,BUY,BUY,BUY
2017-11-02,2652.0,2652.0,2637.0,73.0,56.51159869397148,HOLD,28.625235404896422,26.616446955430007,HOLD,-71.37476459510358,HOLD,63.113624215827286,HOLD,66.49713302436277,HOLD,2595.1428571428573,2590.9501926214007,2612.9809523809527,BUY,BUY,BUY
2017-11-09,2653.0,2653.0,2653.0,43.0,56.54947017343247,HOLD,28.8135593220339,27.746390458254865,HOLD,-71.1864406779661,HOLD,63.389042133160586,HOLD,71.07035932657718,HOLD,2605.9285714285716,2599.2235002718808,2620.695238095238,BUY,BUY,BUY
2017-11-16,2601.0,2601.0,2600.0,77.0,53.9199509849465,HOLD,19.02071563088512,25.48650345260515,BUY,-80.97928436911488,BUY,17.25737870666592,HOLD,67.69667823480881,HOLD,2613.0714285714284,2599.4603669022968,2620.0380952380956,SELL,BUY,SELL
2017-11-23,2601.0,2601.0,2601.0,64.0,53.9199509849465,HOLD,19.02071563088512,22.284996861268045,BUY,-80.97928436911488,BUY,13.84515850765597,HOLD,81.62161030135607,SELL,2620.285714285714,2599.665651315324,2618.4285714285716,SELL,BUY,SELL
2017-11-30,2600.0,2600.0,2600.0,25.0,53.86408941338826,HOLD,18.832391713747647,18.957940991839298,BUY,-81.16760828625236,BUY,9.141973483728817,HOLD,77.36235407381243,HOLD,2625.9285714285716,2599.7102311399476,2615.7238095238095,SELL,BUY,SELL
2017-12-14,2600.0,2600.0,2600.0,18.0,53.86408941338826,HOLD,18.67924528301887,18.844117542550546,BUY,-81.32075471698113,BUY,4.929714955095841,HOLD,78.50419772349495,HOLD,2633.0714285714284,2599.748866987955,2612.266666666667,SELL,BUY,SELL
2017-12-21,2600.0,2600.0,2600.0,30.0,53.86408941338826,HOLD,18.67924528301887,18.730294093261794,BUY,-81.32075471698113,BUY,4.929714955095841,HOLD,72.40886182310454,HOLD,2625.9285714285716,2599.782351389561,2607.8571428571427,SELL,BUY,SELL
2018-01-18,2711.0,2711.0,2700.0,376.0,59.65830711505019,HOLD,100.0,45.78616352201258,SELL,-0.0,SELL,98.45234077431218,HOLD,78.65046982882888,HOLD,2603.0714285714284,2614.611371204286,2619.2000000000003,BUY,BUY,BUY
2018-01-25,2800.0,2885.0,2711.0,149.0,63.60512965420966,HOLD,77.86458333333333,65.51460953878406,HOLD,-22.135416666666668,HOLD,155.45011318126404,SELL,84.27790637647553,SELL,2620.8571428571427,2639.329855043715,2645.457142857143,BUY,BUY,BUY
2018-02-15,2812.0,2812.0,2812.0,26.0,64.11491041182924,HOLD,80.98958333333333,86.28472222222221,SELL,-19.010416666666668,SELL,143.4480700897823,SELL,84.21944228701912,SELL,2636.0,2662.352541037886,2670.942857142857,BUY,BUY,BUY
2018-02-22,2812.0,2812.0,2812.0,50.0,64.11491041182924,HOLD,80.98958333333333,79.94791666666667,SELL,-19.010416666666668,SELL,122.4433021629585,SELL,87.5374629234075,SELL,2658.214285714286,2682.305535566168,2694.4095238095238,BUY,BUY,BUY
2018-03-01,2728.0,2728.0,2728.0,10.0,57.568603493577164,HOLD,44.91228070175438,68.96381578947368,HOLD,-55.08771929824562,HOLD,50.33725579946458,HOLD,88.6496143286924,SELL,2674.4285714285716,2688.3981308240127,2703.7142857142853,BUY,BUY,BUY
